module,content,type,combined
Water & Sewerage Connection Management,"WS21 | Payment of Water & Sewerage Bill | Provision for approve/reject the same, based on which the billing ledger and other related docs should also be updated.",Table,"[Water & Sewerage Connection Management] WS21 | Payment of Water & Sewerage Bill | Provision for approve/reject the same, based on which the billing ledger and other related docs should also be updated."
Water & Sewerage Connection Management,WS22 | Payment of Water & Sewerage Bill | Provision to make online Payment using the portal through payment gateway.,Table,[Water & Sewerage Connection Management] WS22 | Payment of Water & Sewerage Bill | Provision to make online Payment using the portal through payment gateway.
Water & Sewerage Connection Management,WS23 | Payment of Water & Sewerage Bill | Provision log all transaction details in the file server.,Table,[Water & Sewerage Connection Management] WS23 | Payment of Water & Sewerage Bill | Provision log all transaction details in the file server.
Water & Sewerage Connection Management,"WS24 | Payment of Water & Sewerage Bill | Provision for approve/reject the same, based on which the billing ledger and other related docs should also be updated.",Table,"[Water & Sewerage Connection Management] WS24 | Payment of Water & Sewerage Bill | Provision for approve/reject the same, based on which the billing ledger and other related docs should also be updated."
Water & Sewerage Connection Management,WS25 | Payment of Water & Sewerage Bill | Provision to make online Payment using the portal through payment gateway.,Table,[Water & Sewerage Connection Management] WS25 | Payment of Water & Sewerage Bill | Provision to make online Payment using the portal through payment gateway.
Water & Sewerage Connection Management,WS26 | Payment of Water & Sewerage Bill | Provision log all transaction details in the file server.,Table,[Water & Sewerage Connection Management] WS26 | Payment of Water & Sewerage Bill | Provision log all transaction details in the file server.
Water & Sewerage Connection Management,"WS27 | Payment of Water & Sewerage Bill | Provision for approve/reject the same, based on which the billing ledger and other related docs should also be updated.",Table,"[Water & Sewerage Connection Management] WS27 | Payment of Water & Sewerage Bill | Provision for approve/reject the same, based on which the billing ledger and other related docs should also be updated."
Water & Sewerage Connection Management,WS28 | Disconnection of Connection | Provision to apply for temporary/permanent disconnection of water/sewerage connection,Table,[Water & Sewerage Connection Management] WS28 | Disconnection of Connection | Provision to apply for temporary/permanent disconnection of water/sewerage connection
Water & Sewerage Connection Management,WS29 | Disconnection of Connection | Workflow-based approval for disconnection requests,Table,[Water & Sewerage Connection Management] WS29 | Disconnection of Connection | Workflow-based approval for disconnection requests
Water & Sewerage Connection Management,WS30 | Disconnection of Connection | Provision to track disconnection application status,Table,[Water & Sewerage Connection Management] WS30 | Disconnection of Connection | Provision to track disconnection application status
Water & Sewerage Connection Management,WS31 | Disconnection of Connection | Auto-calculation of dues before disconnection approval,Table,[Water & Sewerage Connection Management] WS31 | Disconnection of Connection | Auto-calculation of dues before disconnection approval
Water & Sewerage Connection Management,WS32 | Reconnection of Connection | Provision to apply for reconnection after disconnection,Table,[Water & Sewerage Connection Management] WS32 | Reconnection of Connection | Provision to apply for reconnection after disconnection
Water & Sewerage Connection Management,WS33 | Reconnection of Connection | Workflow-based approval for reconnection requests,Table,[Water & Sewerage Connection Management] WS33 | Reconnection of Connection | Workflow-based approval for reconnection requests
Water & Sewerage Connection Management,WS34 | Billing & Demand | Automatic generation of periodic water/sewerage bills,Table,[Water & Sewerage Connection Management] WS34 | Billing & Demand | Automatic generation of periodic water/sewerage bills
Water & Sewerage Connection Management,WS35 | Billing & Demand | Provision to generate supplementary/adjustment bills,Table,[Water & Sewerage Connection Management] WS35 | Billing & Demand | Provision to generate supplementary/adjustment bills
Water & Sewerage Connection Management,WS36 | Billing & Demand | Provision to apply penalties for delayed payments,Table,[Water & Sewerage Connection Management] WS36 | Billing & Demand | Provision to apply penalties for delayed payments
Water & Sewerage Connection Management,WS37 | Billing & Demand | Provision to apply interest on outstanding dues,Table,[Water & Sewerage Connection Management] WS37 | Billing & Demand | Provision to apply interest on outstanding dues
Water & Sewerage Connection Management,WS38 | Billing & Demand | Provision for rebates based on early payment,Table,[Water & Sewerage Connection Management] WS38 | Billing & Demand | Provision for rebates based on early payment
Water & Sewerage Connection Management,WS39 | Billing & Demand | Bulk bill generation for multiple connections,Table,[Water & Sewerage Connection Management] WS39 | Billing & Demand | Bulk bill generation for multiple connections
Water & Sewerage Connection Management,WS40 | Billing & Demand | Provision to view bill breakdown and calculation details,Table,[Water & Sewerage Connection Management] WS40 | Billing & Demand | Provision to view bill breakdown and calculation details
Water & Sewerage Connection Management,WS41 | Meter Management | Integration with smart meter systems (IoT-enabled meters),Table,[Water & Sewerage Connection Management] WS41 | Meter Management | Integration with smart meter systems (IoT-enabled meters)
Water & Sewerage Connection Management,WS42 | Meter Management | Provision for meter replacement and update history tracking,Table,[Water & Sewerage Connection Management] WS42 | Meter Management | Provision for meter replacement and update history tracking
